tweet_id,tweet_text,tweet_location,tweet_geo,user_screen,url,user_desc,tweet_source,tweet_created,tweet_contributors,tweet_entities,tweet_retweet_count,tweet_username,tweet_followers_count,friends_count
1622146446974930944,@AliAshtari9 عجب دین رنگی هم دارید,بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:13:45,1622146446974930944,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AliAshtari9', 'name': 'Ali Ashtari', 'id': 1013964115092443136, 'id_str': '1013964115092443136', 'indices': [0, 12]}], 'urls': []}",0,راسپوتین🇮🇷,179,263
1622146025304752129,@moh_a_parsaa شهرستان دشتی واقع در استان بوشهر,بوشهر,,aliakbar3532,,"بزرگان، تنها از آنرو بزرگ جلوه می کنند
که ما زانو زده ایم
پس بگذارید برخیزیم/خبرنگاه",Twitter for Android,2023-02-05 08:12:05,1622146025304752129,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'moh_a_parsaa', 'name': 'پآرس\u200cا', 'id': 1596209720238526464, 'id_str': '1596209720238526464', 'indices': [0, 13]}], 'urls': []}",0,🇮🇷aliakbar‌‌🇮🇷,1034,1052
1622145996540215297,@AkkasNabashi آخی بمیرم برات🥲,بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:11:58,1622145996540215297,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AkkasNabashi', 'name': 'Hossein', 'id': 46287159, 'id_str': '46287159', 'indices': [0, 13]}], 'urls': []}",0,راسپوتین🇮🇷,179,263
1622145746052198400,@azrbycnn ببین اول باید اون پرچم جعلی رو برداری و این 🇮🇷 رو بزاری چون چه بخوای چه نه جمهوری آذربایجان فقط ی شوخیه 😅… https://t.co/QRnj2EWv8Q,بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:10:58,1622145746052198400,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'azrbycnn', 'name': 'mesut', 'id': 2438143195, 'id_str': '2438143195', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/QRnj2EWv8Q', 'expanded_url': 'https://twitter.com/i/web/status/1622145746052198400', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,راسپوتین🇮🇷,179,263
1622145056579919872,@bisma_iri باعث تاسفه 🤦‍♂️🤦‍♂️,بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:08:14,1622145056579919872,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bisma_iri', 'name': 'SHAHED🇮🇷', 'id': 936791465279279105, 'id_str': '936791465279279105', 'indices': [0, 10]}], 'urls': []}",0,راسپوتین🇮🇷,179,263
1622144933434982402,"@hosseinian_twt سلامت باشی عزیزم
قربانت",bushehr,,ARNS1998,,"حب الوطن من الایمان!!
اللهم ارزقنا شهادة فی سبیل الحسین!!
فعلا پشتیبان بانک ملتم(به پرداخت ملت) تا ببینیم خدا چی میخواد",Twitter for Android,2023-02-05 08:07:44,1622144933434982402,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hosseinian_twt', 'name': 'محمد حسینیان', 'id': 1221660912312029184, 'id_str': '1221660912312029184', 'indices': [0, 15]}], 'urls': []}",0,alireza,188,497
1622144810596601856,@bagragayy139 آذربایجان شمالی باید به ایران برگرده✌️,بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:07:15,1622144810596601856,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bagragayy139', 'name': 'باقر🇮🇷', 'id': 932304735008428032, 'id_str': '932304735008428032', 'indices': [0, 13]}], 'urls': []}",0,راسپوتین🇮🇷,179,263
1622144416755634176,@PahlaviReza گم شو مردک عیاش,بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:05:41,1622144416755634176,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PahlaviReza', 'name': 'Reza Pahlavi', 'id': 38154763, 'id_str': '38154763', 'indices': [0, 12]}], 'urls': []}",0,راسپوتین🇮🇷,179,263
1622144103214624768,"#ربع‌پهلوی تنها و تمام خاندان وطن فروش #پهلوي از لحاظ سیاسی مرده و مهره سوخته 
محسوب می شوند و تنها استفاده آنها تو… https://t.co/dMKBP8x6zs",بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:04:26,1622144103214624768,"{'hashtags': [{'text': 'ربع\u200cپهلوی', 'indices': [0, 10]}, {'text': 'پهلوي', 'indices': [39, 45]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dMKBP8x6zs', 'expanded_url': 'https://twitter.com/i/web/status/1622144103214624768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,راسپوتین🇮🇷,179,263
1622143363922403329,"@Dashmoory چون فقط یک انسان مرده از لحاظ سیاسیه 
و فقط به درد آمریکا می خوره برای تحت فشار قرار داد ایران",بوشهر ,,rspwtyn2,https://t.co/Ex3R8PNxPm,"تنها دو راه برای زندگی کردن وجود دارد:
به گونه ای که انگار هیچ معجزه ای رخ نمی دهد
یا گویی همه چیز یک معجزه است",Twitter for Android,2023-02-05 08:01:30,1622143363922403329,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dashmoory', 'name': '👑Old Wolf👑', 'id': 1212420892623429637, 'id_str': '1212420892623429637', 'indices': [0, 10]}], 'urls': []}",0,راسپوتین🇮🇷,179,263
